Country,Area,Age,Survey Availability ,Year,Time use,Women
Albania, ,Age:10+,2005 and later,2010-11,"Unpaid domestic, care and volunteer work",5.216666667
Albania, ,Age:10+,2005 and later,2010-11,Paid and subsistence work,1.933333333
Algeria, ,Age:12+,2005 and later,2012,"Unpaid domestic, care and volunteer work",5.3
Algeria, ,Age:12+,2005 and later,2012,Paid and subsistence work,0.5
Argentina, ,Age:15-74,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.016666667
Argentina, ,Age:15-74,2005 and later,2005,Paid and subsistence work,2.75
Argentina, ,Age:18+,2005 and later,2013,"Unpaid domestic, care and volunteer work",5.816666667
Argentina, ,Age:18+,2005 and later,2013,Paid and subsistence work,
Armenia, ,Age:15-80,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",5.766666667
Armenia, ,Age:15-80,1995 - 2004,2004,Paid and subsistence work,1.733333333
Armenia, ,Age:15-80,2005 and later,2008,"Unpaid domestic, care and volunteer work",5.2
Armenia, ,Age:15-80,2005 and later,2008,Paid and subsistence work,1.683333333
Australia, ,Age:15+,1985 - 1994,1992,"Unpaid domestic, care and volunteer work",5.1
Australia, ,Age:15+,1985 - 1994,1992,Paid and subsistence work,2.1
Australia, ,Age:15+,1995 - 2004,1997,"Unpaid domestic, care and volunteer work",5.05
Australia, ,Age:15+,1995 - 2004,1997,Paid and subsistence work,2.2
Australia, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",5.216666667
Australia, ,Age:15+,2005 and later,2006,Paid and subsistence work,2.35
Austria, ,Age:20-74,1985 - 1994,1992,"Unpaid domestic, care and volunteer work",5.266666667
Austria, ,Age:20-74,1985 - 1994,1992,Paid and subsistence work,2.233333333
Austria, ,Age:20-74,2005 and later,2008-09,"Unpaid domestic, care and volunteer work",4.066666667
Austria, ,Age:20-74,2005 and later,2008-09,Paid and subsistence work,2.433333333
Azerbaijan, ,Age:15+,2005 and later,2008,"Unpaid domestic, care and volunteer work",6.1
Azerbaijan, ,Age:15+,2005 and later,2008,Paid and subsistence work,1.733333333
Belarus, ,Age:10+,2005 and later,2014-15,"Unpaid domestic, care and volunteer work",4.866666667
Belarus, ,Age:10+,2005 and later,2014-15,Paid and subsistence work,3.2
Belgium, ,Age:12+,1998-00,1998-00,"Unpaid domestic, care and volunteer work",3.983333333
Belgium, ,Age:12+,1998-00,1998-00,Paid and subsistence work,1.6
Belgium, ,Age:12+,2005 and later,2013,"Unpaid domestic, care and volunteer work",3.916666667
Belgium, ,Age:12+,2005 and later,2005,"Unpaid domestic, care and volunteer work",3.716666667
Belgium, ,Age:12+,2005 and later,2013,Paid and subsistence work,1.866666667
Belgium, ,Age:12+,2005 and later,2005,Paid and subsistence work,1.583333333
Belgium, ,Age:15-84,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.183333333
Belgium, ,Age:15-84,2005 and later,2005,Paid and subsistence work,2.133333333
Belgium, ,Age:19-65,1998-00,1998-00,"Unpaid domestic, care and volunteer work",4.483333333
Belgium, ,Age:19-65,1998-00,1998-00,Paid and subsistence work,2.216666667
Belgium, ,Age:19-65,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.233333333
Belgium, ,Age:19-65,2005 and later,2005,Paid and subsistence work,2.2
Belgium, ,Age:19-65,Up to 1984,1966,"Unpaid domestic, care and volunteer work",5.5
Belgium, ,Age:19-65,Up to 1984,1966,Paid and subsistence work,2.333333333
Benin,Rural,Age:6-65,1995 - 2004,1998,"Unpaid domestic, care and volunteer work",3.25
Benin,Rural,Age:6-65,1995 - 2004,1998,Paid and subsistence work,5.083333333
Benin,Urban,Age:6-65,1995 - 2004,1998,"Unpaid domestic, care and volunteer work",3.25
Benin,Urban,Age:6-65,1995 - 2004,1998,Paid and subsistence work,3.916666667
Bhutan, ,Age:Unknown age,2006-07,2006-07,"Unpaid domestic, care and volunteer work",3.416666667
Bhutan, ,Age:Unknown age,2006-07,2006-07,Paid and subsistence work,5
Bolivia (Plurinational State of),Urban,Age:20-59,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",5
Bolivia (Plurinational State of),Urban,Age:20-59,1995 - 2004,2001,Paid and subsistence work,3.733333333
Brazil, ,Age:10+,2005 and later,2009,"Unpaid domestic, care and volunteer work",4.233333333
Brazil, ,Age:10+,2005 and later,2009,Paid and subsistence work,2.75
Brazil, ,Age:15+,2005 and later,2012,"Unpaid domestic, care and volunteer work",3.2
Brazil, ,Age:15+,2005 and later,2012,Paid and subsistence work,2.75
Bulgaria, ,Age:20-74,1995 - 2004,2001-02,"Unpaid domestic, care and volunteer work",5.016666667
Bulgaria, ,Age:20-74,1995 - 2004,2001-02,Paid and subsistence work,2.85
Bulgaria, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.433333333
Bulgaria, ,Age:20-74,2005 and later,2009-10,Paid and subsistence work,2.283333333
Cambodia, ,Age:15-64,1995 - 2004,2003-04,"Unpaid domestic, care and volunteer work",3
Cambodia, ,Age:15-64,1995 - 2004,2003-04,Paid and subsistence work,4.5
Canada, ,Age:15+,1995 - 2004,1998,"Unpaid domestic, care and volunteer work",4.416666667
Canada, ,Age:15+,1995 - 2004,1998,Paid and subsistence work,2.783333333
Canada, ,Age:15+,2005 and later,2010,"Unpaid domestic, care and volunteer work",4.283333333
Canada, ,Age:15+,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.2
Canada, ,Age:15+,2005 and later,2010,Paid and subsistence work,3
Canada, ,Age:15+,2005 and later,2005,Paid and subsistence work,3.1
Chile, ,Age:12+,2015,2015,"Unpaid domestic, care and volunteer work",5.8
Chile, ,Age:12+,2015,2015,Paid and subsistence work,2.666666667
Chile, ,Age:15+,2005 and later,2007-08,"Unpaid domestic, care and volunteer work",3.9
Chile, ,Age:15+,2005 and later,2007-08,Paid and subsistence work,2.483333333
China, ,Age:15-74,2005 and later,2008,"Unpaid domestic, care and volunteer work",3.9
China, ,Age:15-74,2005 and later,2008,Paid and subsistence work,4.383333333
"China, Hong Kong Special Administrative Region", ,Age:15+,1995 - 2004,2001-02,"Unpaid domestic, care and volunteer work",3.3
"China, Hong Kong Special Administrative Region", ,Age:15+,1995 - 2004,2001-02,Paid and subsistence work,3.6
"China, Hong Kong Special Administrative Region", ,Age:15+,2005 and later,2013,"Unpaid domestic, care and volunteer work",2.7
"China, Hong Kong Special Administrative Region", ,Age:15+,2005 and later,2013,Paid and subsistence work,2.8
Colombia, ,Age:15+,2005 and later,2012,"Unpaid domestic, care and volunteer work",4.35
Colombia, ,Age:15+,2005 and later,2012,Paid and subsistence work,2.816666667
Costa Rica, ,Age:12+,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",5.366666667
Costa Rica, ,Age:12+,1995 - 2004,2004,Paid and subsistence work,1.95
Costa Rica,Metropolitan area,Age:12+,2005 and later,2011,"Unpaid domestic, care and volunteer work",5.566666667
Costa Rica,Metropolitan area,Age:12+,2005 and later,2011,Paid and subsistence work,2.75
Costa Rica,Metropolitan area,Age:15+,2005 and later,2011,"Unpaid domestic, care and volunteer work",4.516666667
Costa Rica,Metropolitan area,Age:15+,2005 and later,2011,Paid and subsistence work,2.066666667
Cuba,Bayamo,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",4.65
Cuba,Bayamo,Age:15+,1995 - 2004,2001,Paid and subsistence work,2.683333333
Cuba,Guisa,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",5.25
Cuba,Guisa,Age:15+,1995 - 2004,2001,Paid and subsistence work,2.166666667
Cuba,Habana Vieja,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.916666667
Cuba,Habana Vieja,Age:15+,1995 - 2004,2001,Paid and subsistence work,3.733333333
Cuba,Pina del Rio,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.883333333
Cuba,Pina del Rio,Age:15+,1995 - 2004,2001,Paid and subsistence work,3.216666667
Cuba,San Juan y Martinez,Age:15+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",4.566666667
Cuba,San Juan y Martinez,Age:15+,1995 - 2004,2001,Paid and subsistence work,3.6
Denmark, ,Age:16-74,1985 - 1994,1987,"Unpaid domestic, care and volunteer work",3.05
Denmark, ,Age:16-74,1985 - 1994,1987,Paid and subsistence work,3.3
Denmark, ,Age:16-74,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.5
Denmark, ,Age:16-74,1995 - 2004,2001,Paid and subsistence work,3.883333333
Denmark, ,Age:20-74,2005 and later,2008-09,"Unpaid domestic, care and volunteer work",3.75
Denmark, ,Age:20-74,2005 and later,2008-09,Paid and subsistence work,2.25
Ecuador, ,Age:12+,2005 and later,2012,"Unpaid domestic, care and volunteer work",4.366666667
Ecuador, ,Age:12+,2005 and later,2012,Paid and subsistence work,2.7
Estonia, ,Age:10+,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",5.033333333
Estonia, ,Age:10+,1995 - 2004,1999-00,Paid and subsistence work,2.783333333
Estonia, ,Age:10+,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.35
Estonia, ,Age:10+,2005 and later,2009-10,Paid and subsistence work,2.683333333
Ethiopia, ,Age:10+,2005 and later,2013,"Unpaid domestic, care and volunteer work",4.85
Ethiopia, ,Age:10+,2005 and later,2013,Paid and subsistence work,3.316666667
Ethiopia, ,Age:18+,2005 and later,2013,"Unpaid domestic, care and volunteer work",5.3
Ethiopia, ,Age:18+,2005 and later,2013,Paid and subsistence work,3.433333333
Finland, ,Age:10+,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",3.6
Finland, ,Age:10+,1995 - 2004,1999-00,Paid and subsistence work,3.05
Finland, ,Age:10+,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.416666667
Finland, ,Age:10+,2005 and later,2009-10,Paid and subsistence work,2.7
Finland, ,Age:10+,Up to 1984,1979,"Unpaid domestic, care and volunteer work",3.65
Finland, ,Age:10+,Up to 1984,1979,Paid and subsistence work,3.116666667
Finland, ,Age:20-74,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",3.933333333
Finland, ,Age:20-74,1995 - 2004,1999-00,Paid and subsistence work,2.55
Finland, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.733333333
Finland, ,Age:20-74,2005 and later,2009-10,Paid and subsistence work,2.466666667
France, ,Age:15-60,1995 - 2004,1998-99,"Unpaid domestic, care and volunteer work",4.6
France, ,Age:15-60,1995 - 2004,1998-99,Paid and subsistence work,3.45
France, ,Age:15-60,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.016666667
France, ,Age:15-60,2005 and later,2009-10,Paid and subsistence work,3.516666667
France, ,Age:15+,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.866666667
France, ,Age:15+,2005 and later,2009-10,Paid and subsistence work,2.216666667
France, ,Age:20-74,1995 - 2004,1998-99,"Unpaid domestic, care and volunteer work",4.533333333
France, ,Age:20-74,1995 - 2004,1998-99,Paid and subsistence work,2.55
France, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",3.933333333
France, ,Age:20-74,2005 and later,2009-10,Paid and subsistence work,2.666666667
Germany, ,Age:10+,1995 - 2004,2001-02,"Unpaid domestic, care and volunteer work",4.383333333
Germany, ,Age:10+,1995 - 2004,2001-02,Paid and subsistence work,2.15
Germany, ,Age:10+,2005 and later,2012-13,"Unpaid domestic, care and volunteer work",4.166666667
Germany, ,Age:10+,2005 and later,2012-13,Paid and subsistence work,2.15
Germany, ,Age:20-74,1995 - 2004,2001-02,"Unpaid domestic, care and volunteer work",4.383333333
Germany, ,Age:20-74,1995 - 2004,2001-02,Paid and subsistence work,2.15
Ghana, ,Age:10+,2005 and later,2009,"Unpaid domestic, care and volunteer work",3.666666667
Ghana, ,Age:10+,2005 and later,2009,Paid and subsistence work,3.833333333
Ghana, ,Age:18+,2005 and later,2009,"Unpaid domestic, care and volunteer work",3.716666667
Ghana, ,Age:18+,2005 and later,2009,Paid and subsistence work,4.883333333
Greece, ,Age:10+,2005 and later,2013-14,"Unpaid domestic, care and volunteer work",4.35
Greece, ,Age:10+,2005 and later,2013-14,Paid and subsistence work,1.3
Greece, ,Age:20-74,2005 and later,2013-14,"Unpaid domestic, care and volunteer work",4.9
Greece, ,Age:20-74,2005 and later,2013-14,Paid and subsistence work,1.683333333
Guatemala, ,Age:15-59,2005 and later,2006,"Unpaid domestic, care and volunteer work",6.183333333
Guatemala, ,Age:15-59,2005 and later,2006,Paid and subsistence work,3.166666667
Guatemala, ,Age:15+,2005 and later,2011,"Unpaid domestic, care and volunteer work",6.583333333
Guatemala, ,Age:15+,2005 and later,2011,Paid and subsistence work,2.066666667
Honduras, ,Age:15+,2005 and later,2009,"Unpaid domestic, care and volunteer work",3.25
Honduras, ,Age:15+,2005 and later,2009,Paid and subsistence work,1.9
Hungary, ,Age:15-74,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",4.683333333
Hungary, ,Age:15-74,1995 - 2004,1999-00,Paid and subsistence work,2.166666667
Hungary, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.75
Hungary, ,Age:20-74,2005 and later,2009-10,Paid and subsistence work,2.2
India, ,Age:6+,1995 - 2004,1998-99,"Unpaid domestic, care and volunteer work",4.35
India, ,Age:6+,1995 - 2004,1998-99,Paid and subsistence work,3.016666667
Iran (Islamic Republic of), ,Age:15+,2005 and later,2008-09,"Unpaid domestic, care and volunteer work",5.083333333
Iran (Islamic Republic of), ,Age:15+,2005 and later,2008-09,Paid and subsistence work,0.683333333
Iraq, ,Age:10+,2005 and later,2007,"Unpaid domestic, care and volunteer work",5.783333333
Iraq, ,Age:10+,2005 and later,2007,Paid and subsistence work,0.466666667
Ireland, ,Age:15-64,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.933333333
Ireland, ,Age:15-64,2005 and later,2005,Paid and subsistence work,2.7
Italy, ,Age:15+,1995 - 2004,2002-03,"Unpaid domestic, care and volunteer work",5.316666667
Italy, ,Age:15+,1995 - 2004,2002-03,Paid and subsistence work,1.8
Italy, ,Age:15+,2005 and later,2008-09,"Unpaid domestic, care and volunteer work",5.083333333
Italy, ,Age:15+,2005 and later,2008-09,Paid and subsistence work,1.983333333
Japan, ,Age:10+,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.65
Japan, ,Age:10+,1995 - 2004,2001,Paid and subsistence work,2.816666667
Japan, ,Age:10+,2005 and later,2011,"Unpaid domestic, care and volunteer work",3.65
Japan, ,Age:10+,2005 and later,2006,"Unpaid domestic, care and volunteer work",3.666666667
Japan, ,Age:10+,2005 and later,2011,Paid and subsistence work,2.766666667
Japan, ,Age:10+,2005 and later,2006,Paid and subsistence work,2.9
Kazakhstan, ,Age:10+,2005 and later,2012,"Unpaid domestic, care and volunteer work",4.166666667
Kazakhstan, ,Age:10+,2005 and later,2012,Paid and subsistence work,2.516666667
Kazakhstan, ,Age:20-74,1995 - 2004,2003,"Unpaid domestic, care and volunteer work",6.833333333
Kazakhstan, ,Age:20-74,1995 - 2004,2000,"Unpaid domestic, care and volunteer work",6.65
Kazakhstan, ,Age:20-74,1995 - 2004,2003,Paid and subsistence work,3.833333333
Kazakhstan, ,Age:20-74,1995 - 2004,2000,Paid and subsistence work,3.566666667
Kazakhstan, ,Age:20-74,2005 and later,2006,"Unpaid domestic, care and volunteer work",6.266666667
Kazakhstan, ,Age:20-74,2005 and later,2006,Paid and subsistence work,3.516666667
Kyrgyzstan, ,Age:12+,2005 and later,2010,"Unpaid domestic, care and volunteer work",4.583333333
Kyrgyzstan, ,Age:12+,2005 and later,2010,Paid and subsistence work,2.716666667
Kyrgyzstan, ,Age:12+,2015,2015,"Unpaid domestic, care and volunteer work",4.116666667
Kyrgyzstan, ,Age:12+,2015,2015,Paid and subsistence work,2.016666667
Kyrgyzstan, ,Age:20-74,1995 - 2004,2000,"Unpaid domestic, care and volunteer work",6.65
Kyrgyzstan, ,Age:20-74,1995 - 2004,2000,Paid and subsistence work,3.583333333
Kyrgyzstan, ,Age:20-74,2005 and later,2005,"Unpaid domestic, care and volunteer work",5.7
Kyrgyzstan, ,Age:20-74,2005 and later,2005,Paid and subsistence work,3.516666667
Lao People's Democratic Republic, ,Age:10+,1995 - 2004,2002-03,"Unpaid domestic, care and volunteer work",2.5
Lao People's Democratic Republic, ,Age:10+,1995 - 2004,2002-03,Paid and subsistence work,4.5
Lao People's Democratic Republic, ,Age:10+,2005 and later,2007-08,"Unpaid domestic, care and volunteer work",2.4
Lao People's Democratic Republic, ,Age:10+,2005 and later,2007-08,Paid and subsistence work,4
Lao People's Democratic Republic, ,Age:Unknown age,2005 and later,2012-13,"Unpaid domestic, care and volunteer work",2.5
Lao People's Democratic Republic, ,Age:Unknown age,2005 and later,2012-13,Paid and subsistence work,3.9
Latvia, ,Age:20-74,1995 - 2004,2003,"Unpaid domestic, care and volunteer work",3.933333333
Latvia, ,Age:20-74,1995 - 2004,2003,Paid and subsistence work,3.883333333
Lesotho, ,Age:15+,1995 - 2004,2002-03,"Unpaid domestic, care and volunteer work",3.733333333
Lesotho, ,Age:15+,1995 - 2004,2002-03,Paid and subsistence work,2.716666667
Lithuania, ,Age:20-74,1995 - 2004,2003,"Unpaid domestic, care and volunteer work",4.666666667
Lithuania, ,Age:20-74,1995 - 2004,2003,Paid and subsistence work,3.85
Luxembourg, ,Age:10-74,2005 and later,2014,"Unpaid domestic, care and volunteer work",3.666666667
Luxembourg, ,Age:10-74,2005 and later,2014,Paid and subsistence work,2.75
Madagascar,Rural,Age:6-65,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.5
Madagascar,Rural,Age:6-65,1995 - 2004,2001,Paid and subsistence work,4
Madagascar,Urban,Age:6-65,1995 - 2004,2001,"Unpaid domestic, care and volunteer work",3.75
